type,message,len_type,len_message
0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,3,111
0,ok lar joking wif u oni,3,29
1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,4,155
0,u dun say so early hor u c already then say,3,49
0,nah i don t think he goes to usf he lives around here though,3,61
1,freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv,4,148
0,even my brother is not like to speak with me they treat me like aids patent,3,77
0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,3,160
1,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,4,158
1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,4,154
0,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,3,109
1,six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,4,136
1,urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnwarw,4,156
0,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,3,196
0,i have a date on sunday with will,3,35
1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,4,149
0,oh k i m watching here,3,26
0,eh u remember how spell his name yes i did he v naughty make until i v wet,3,81
0,fine if that s the way u feel that s the way its gota b,3,58
1,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt poboxoxwwq,4,156
0,is that seriously how you spell his name,3,41
0,i m going to try for months ha ha only joking,3,49
0,so pay first lar then when is da stock comin,3,53
0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,3,88
0,ffffffffff alright no way i can meet up with you sooner,3,57
0,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,3,144
0,lol your always so convincing,3,30
0,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,3,134
0,i m back amp we re packing the car now i ll let you know if there s room,3,75
0,ahhh work i vaguely remember that what does it feel like lol,3,64
0,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,3,130
0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you,3,189
0,k tell me anything about you,3,29
0,for fear of fainting with the of all that housework you just did quick have a cuppa,3,84
1,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,4,159
0,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,3,123
0,oops i ll let you know when my roommate s done,3,47
0,i see the letter b on my car,3,28
0,anything lor u decide,3,27
0,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,3,155
0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,3,82
0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,3,142
1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,4,172
0,who are you seeing,3,19
0,great i hope you like your man well endowed i am lt gt inches,3,72
0,no calls messages missed calls,3,32
0,didn t you get hep b immunisation in nigeria,3,45
0,fair enough anything going on,3,31
0,yeah hopefully if tyler can t do it i could maybe ask around a bit,3,67
0,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,3,148
0,what you thinked about me first time you saw me in class,3,58
0,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,3,124
0,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,3,80
0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,3,291
1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,4,120
0,do you know what mallika sherawat did yesterday find out now lt url gt,3,76
1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,4,161
0,sorry i ll call later in meeting,3,34
0,tell where you reached,3,22
0,yes gauti and sehwag out of odi series,3,40
0,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me,3,108
0,ha ha ha good joke girls are situation seekers,3,48
0,its a part of checking iq,3,25
0,sorry my roommates took forever it ok if i come by now,3,56
0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,3,110
1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,4,153
0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,3,124
1,urgent ur awarded a complimentary trip to eurodisinc trav aco entry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,4,161
1,did you hear about the new divorce barbie it comes with all of ken s stuff,4,80
0,i plane to give on this month end,3,34
0,wah lucky man then can save money hee,3,46
0,finished class where are you,3,29
